Position,Win Probability,Average Score,1,2,3,4,5,6,7,8,9,10,11,12
1 3 9 11 12,0.000645386,31.5,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,1 9,11,12
3 10 11,0.00154321,22.0833,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,10,11,N/A
3 10 11 12,0.000171468,33.5556,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,10,11,12
1 3 9 10,0.0122171,18.4722,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,10,1 10,3 9
1 3 9 10 12,0.00108953,30.3333,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,10,1 10,12
3 9 11,0.00514403,20.5278,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,11,3 9
3 9 11 12,0.000357225,32.3056,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,N/A,11,12
3 9 10,0.00771605,19.0833,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,10,N/A,3 9
1 3 9 10 11,0.00244342,29.1667,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,10,11,3 9
3 9 10 12,0.000535837,31.0278,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,10,N/A,12
1 3 9 10 11 12,0.000275063,40.8889,N/A,N/A,3,1 3,N/A,N/A,N/A,N/A,9,10,11,12
1 3 8,0.0751029,7.80556,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,1 3 8
1 3 8 12,0.00445816,19.6667,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,3 8,12
3 8,0.0709877,8.86111,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,N/A
1 3 8 11,0.0112311,18.3056,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,11,1 11
3 8 12,0.00437243,20.3889,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,3 8,12
1 3 8 11 12,0.000947836,30.0556,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,N/A,11,12
1 3 8 10,0.0205761,15.8333,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,10,1 10,1 3 8
1 3 8 10 12,0.00185757,27.6667,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,10,1 10,12
3 8 11,0.00565844,19.6944,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,11,N/A
3 8 11 12,0.000542981,31.0833,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,N/A,11,12
3 8 10,0.0131173,17.5278,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,10,3 8,N/A
1 3 8 10 11,0.00385802,26.3889,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,10,11,1 11
3 8 10 12,0.00120027,29.0278,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,10,3 8,12
1 3 8 10 11 12,0.000434623,38.0556,N/A,N/A,3,1 3,N/A,N/A,N/A,8,1 8,10,11,12
3 9 10 11,0.00145748,29.1944,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,10,11,3 9
3 9 10 11 12,0.000138127,40.9722,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,9,10,11,12
1 3 8 9,0.0332647,14.5833,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,3 9
1 3 8 9 12,0.00286375,26.2778,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,3 8,12
3 8 9,0.0252058,15.8889,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,3 9
1 3 8 9 11,0.00619189,24.9167,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,11,1 11
3 8 9 12,0.00192187,27.6944,N/A,N/A,3,N/A,N/A,N/A,N/A,8,9,N/A,3 8,12
1 3 8 9 11 12,0.000668671,36.75,N/A,N/A,3,1 3,N/A,N/A,N/A,8,9,1 9,11,12
3 8 10 11,0.00162894,28.3056,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,10,11,N/A
3 8 10 11 12,0.000204809,39.7222,N/A,N/A,3,N/A,N/A,N/A,N/A,8,N/A,10,11,12
